legislador,clave,legislador_id,camara,distrito,bloque,bloque_norm,desde,hasta,bloque_linaje,fuente,nota
María Eugenia Duré,DURE EUGENIA MARIA,leg:80de47b87b87,senado,"PROVINCIA DE TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR TIERRA DEL FUEGO",UNIDAD CIUDADANA,UNIDAD CIUDADANA,2021-12-10,2025-12-09,FdT-UxP (kirchnerismo),wikipedia:2021-2023,
"TERENZI, EDITH ELIZABETH",EDITH ELIZABETH TERENZI,leg:9d0fbaf84ec8,senado,CHUBUT,DESPIERTA CHUBUT,DESPIERTA CHUBUT,2021-12-10,2027-12-09,OTRO / PROVINCIAL,oficial:nomina_senado,
"DE PEDRO, EDUARDO ENRIQUE",EDUARDO ENRIQUE PEDRO,leg:2041a2857b81,senado,BUENOS AIRES,JUSTICIALISTA,JUSTICIALISTA,2023-12-10,2029-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
"GALARETTO, EDUARDO HORACIO",EDUARDO GALARETTO HORACIO,leg:59a42ce5f8b2,senado,SANTA FE,UCR - UNIÓN CÍVICA RADICAL,UCR,2021-12-10,2027-12-09,RADICALISMO,oficial:nomina_senado,
"GADANO, NATALIA ELENA",ELENA GADANO NATALIA,leg:63f7ffca151b,senado,SANTA CRUZ,MOVERE SANTA CRUZ,MOVERE SANTA CRUZ,2023-12-10,2029-12-09,OTRO / PROVINCIAL,oficial:nomina_senado,
Laura Elena Rodríguez Machado,ELENA LAURA MACHADO RODRIGUEZ,leg:2266072f22e6,senado,CORDOBA,FRENTE PRO,FRENTE PRO,2017-12-10,2021-12-09,PRO,wikipedia:2017-2019,
Stella Maris Elisa Olalla de Moreira,ELISA MARIS MOREIRA OLALLA STELLA,leg:0445c290e91c,senado,PROVINCIA DE ENTRE RIOS ENTRE RIOS,UNIÓN CÍVICA RADICAL,UCR,2019-12-10,2021-12-09,RADICALISMO,wikipedia:2019-2021,
Sigrid Elisabeth Kunath,ELISABETH KUNATH SIGRID,leg:8af20b801899,senado,ENTRE RIOS,JUSTICIALISTA,JUSTICIALISTA,2017-12-10,2019-12-09,PERONISMO FEDERAL,wikipedia:2017-2019,
"OROZCO, MARÍA EMILIA",EMILIA MARIA OROZCO,leg:13228d18238d,senado,SALTA,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-12-10,2031-12-09,LA LIBERTAD AVANZA,oficial:nomina_senado,
"NEDER, JOSÉ EMILIO",EMILIO JOSE NEDER,leg:f5f2b54d00c9,senado,PROVINCIA DE SANTIAGO DEL ESTERO SANTIAGO DEL ESTERO,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
"NEDER, JOSÉ EMILIO",EMILIO JOSE NEDER,leg:f5f2b54d00c9,senado,PROVINCIA DE SANTIAGO DEL ESTERO SANTIAGO DEL ESTERO,FRENTE NACIONAL Y POPULAR,FRENTE NACIONAL Y POPULAR,2021-12-10,2025-12-09,FdT-UxP (kirchnerismo),wikipedia:2021-2023,
"NEDER, JOSÉ EMILIO",EMILIO JOSE NEDER,leg:f5f2b54d00c9,senado,SANTIAGO DEL ESTERO,JUSTICIALISTA,JUSTICIALISTA,2025-12-10,2031-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
"GOERLING LARA, ENRIQUE MARTÍN",ENRIQUE GOERLING LARA MARTIN,leg:09d195a72b1d,senado,MISIONES,FRENTE PRO,FRENTE PRO,2023-12-10,2029-12-09,PRO,oficial:nomina_senado,
Jorge Enrique Taiana,ENRIQUE JORGE TAIANA,leg:c59cc4e92905,senado,PROVINCIA DE BUENOS AIRES BUENOS AIRES,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-08-10,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
"FULLONE, ENZO PAOLO",ENZO FULLONE PAOLO,leg:e404c02ebda3,senado,RÍO NEGRO,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-12-26,2031-12-09,LA LIBERTAD AVANZA,oficial:nomina_senado,
Ernesto Félix Martínez,ERNESTO FELIX MARTINEZ,leg:645e68cd4332,senado,CORDOBA,FRENTE PRO,FRENTE PRO,2017-12-10,2021-12-09,PRO,wikipedia:2017-2019,
Silvia Estela Sapag,ESTELA SAPAG SILVIA,leg:0ea00afb1367,senado,PROVINCIA DEL NEUQUEN NEUQUEN,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
Silvia Estela Sapag,ESTELA SAPAG SILVIA,leg:0ea00afb1367,senado,PROVINCIA DEL NEUQUEN NEUQUEN,UNIDAD CIUDADANA,UNIDAD CIUDADANA,2021-12-10,2023-12-09,FdT-UxP (kirchnerismo),wikipedia:2021-2023,
Gladys Esther González,ESTHER GLADYS GONZALEZ,leg:94db2a266465,senado,BUENOS AIRES,FRENTE PRO,FRENTE PRO,2017-12-27,2019-12-09,PRO,wikipedia:2017-2019,
Gladys Esther González,ESTHER GLADYS GONZALEZ,leg:94db2a266465,senado,PROVINCIA DE BUENOS AIRES BUENOS AIRES,FRENTE PRO,FRENTE PRO,2021-12-10,2023-12-09,PRO,wikipedia:2021-2023,
Mónica Esther Silva,ESTHER MONICA SILVA,leg:4a4660a93e40,senado,PROVINCIA DE RIO NEGRO RIO NEGRO,JUNTOS SOMOS RÍO NEGRO,JUNTOS SOMOS RIO NEGRO,2023-12-10,2025-12-09,OTRO / PROVINCIAL,wikipedia:2023-2025,
Guillermo Eugenio Mario Snopek,EUGENIO GUILLERMO MARIO SNOPEK,leg:9b8a06406975,senado,JUJUY,JUSTICIALISTA,JUSTICIALISTA,2017-12-10,2019-12-09,PERONISMO FEDERAL,wikipedia:2017-2019,
Guillermo Eugenio Mario Snopek,EUGENIO GUILLERMO MARIO SNOPEK,leg:9b8a06406975,senado,PROVINCIA DE JUJUY JUJUY,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
Guillermo Eugenio Mario Snopek,EUGENIO GUILLERMO MARIO SNOPEK,leg:9b8a06406975,senado,PROVINCIA DE JUJUY JUJUY,UNIDAD FEDERAL,UNIDAD FEDERAL,2021-12-10,2023-12-09,PERONISMO FEDERAL,wikipedia:2021-2023,
"Fernando Ezequiel ""Pino"" Solanas",EZEQUIEL FERNANDO PINO SOLANAS,leg:a6a5ab88ef49,senado,CIUDAD DE BUENOS AIRES,PROYECTO SUR - UNEN,PROYECTO SUR - UNEN,2017-12-10,2019-12-09,IZQUIERDA,wikipedia:2017-2019,
"FAMA, FLAVIO SERGIO",FAMA FLAVIO SERGIO,leg:b6e1a0196e3f,senado,CATAMARCA,UCR - UNIÓN CÍVICA RADICAL,UCR,2021-12-10,2027-12-09,RADICALISMO,oficial:nomina_senado,
Federico Pinedo,FEDERICO PINEDO,leg:f932f9618646,senado,CIUDAD DE BUENOS AIRES,FRENTE PRO,FRENTE PRO,2017-12-10,2019-12-09,PRO,wikipedia:2017-2019,
Pamela Fernanda Verasay,FERNANDA PAMELA VERASAY,leg:fd82204ddbab,senado,MENDOZA,UNIÓN CÍVICA RADICAL,UCR,2017-12-10,2021-12-09,RADICALISMO,wikipedia:2017-2019,
"REJAL, JESÚS FERNANDO",FERNANDO JESUS REJAL,leg:21535318383d,senado,LA RIOJA,JUSTICIA SOCIAL FEDERAL,JUSTICIA SOCIAL FEDERAL,2023-12-10,2029-12-09,OTRO / PROVINCIAL,oficial:nomina_senado,
Mario Raymundo Fiad,FIAD MARIO RAYMUNDO,leg:58a23c1fd378,senado,JUJUY,UNIÓN CÍVICA RADICAL,UCR,2017-12-10,2023-12-09,RADICALISMO,wikipedia:2017-2019,
"ROYON, FLAVIA GABRIELA",FLAVIA GABRIELA ROYON,leg:c4eabf6d9ca4,senado,SALTA,PRIMERO LOS SALTEÑOS,PRIMERO LOS SALTENOS,2025-12-10,2031-12-09,OTRO / PROVINCIAL,oficial:nomina_senado,
"LÓPEZ, MARÍA FLORENCIA",FLORENCIA LOPEZ MARIA,leg:64be11e9c258,senado,LA RIOJA,JUSTICIALISTA,JUSTICIALISTA,2023-12-10,2029-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
"PAOLTRONI, FRANCISCO MANUEL",FRANCISCO MANUEL PAOLTRONI,leg:6febda5739ce,senado,FORMOSA,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-12-10,2029-12-09,LA LIBERTAD AVANZA,oficial:nomina_senado,
Marcelo Jorge Fuentes,FUENTES JORGE MARCELO,leg:ed8a34686d4d,senado,NEUQUEN,FRENTE PARA LA VICTORIA-PJ,FRENTE PARA LA VICTORIA,2017-12-10,2019-12-09,FdT-UxP (kirchnerismo),wikipedia:2017-2019,
Gabriela González Riollo,GABRIELA GONZALEZ RIOLLO,leg:69d90e711fce,senado,PROVINCIA DE SAN LUIS SAN LUIS,AVANZAR SAN LUIS,AVANZAR SAN LUIS,2021-12-10,2023-12-09,OTRO / PROVINCIAL,wikipedia:2021-2023,
"VALENZUELA, MERCEDES GABRIELA",GABRIELA MERCEDES VALENZUELA,leg:ba4c6561e5e4,senado,CORRIENTES,UCR - UNIÓN CÍVICA RADICAL,UCR,2021-12-10,2027-12-09,RADICALISMO,oficial:nomina_senado,
Silvina Marcela García Larraburu,GARCIA LARRABURU MARCELA SILVINA,leg:a4732f09930d,senado,RIO NEGRO,FRENTE PARA LA VICTORIA-PJ,FRENTE PARA LA VICTORIA,2017-12-10,2019-12-09,FdT-UxP (kirchnerismo),wikipedia:2017-2019,
Silvina Marcela García Larraburu,GARCIA LARRABURU MARCELA SILVINA,leg:a4732f09930d,senado,PROVINCIA DE RIO NEGRO RIO NEGRO,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
Silvina Marcela García Larraburu,GARCIA LARRABURU MARCELA SILVINA,leg:a4732f09930d,senado,PROVINCIA DE RIO NEGRO RIO NEGRO,UNIDAD CIUDADANA,UNIDAD CIUDADANA,2021-12-10,2023-12-09,FdT-UxP (kirchnerismo),wikipedia:2021-2023,
Silvina García Larraburu,GARCIA LARRABURU SILVINA,leg:f91f7a5edcb2,senado,PROVINCIA DE RIO NEGRO RIO NEGRO,UNIDAD CIUDADANA,UNIDAD CIUDADANA,2023-12-10,2025-12-09,FdT-UxP (kirchnerismo),wikipedia:2023-2025,
"ZAMORA, GERARDO",GERARDO ZAMORA,leg:81de01cf201a,senado,SANTIAGO DEL ESTERO,FRENTE CÍVICO POR SANTIAGO,FRENTE CIVICO POR SANTIAGO,2025-12-10,2031-12-09,OTRO / PROVINCIAL,oficial:nomina_senado,
Silvia del Rosario Giacoppo,GIACOPPO ROSARIO SILVIA,leg:dcf28b146c7d,senado,JUJUY,UNIÓN CÍVICA RADICAL,UCR,2017-12-10,2023-12-09,RADICALISMO,wikipedia:2017-2019,
Nora Giménez,GIMENEZ NORA,leg:a7ecf0e81965,senado,PROVINCIA DE SALTA SALTA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,2023-12-10,2025-12-09,FdT-UxP (kirchnerismo),wikipedia:2023-2025,
Nora del Valle Giménez,GIMENEZ NORA VALLE,leg:c3ab7959193e,senado,PROVINCIA DE SALTA SALTA,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
Nora del Valle Giménez,GIMENEZ NORA VALLE,leg:c3ab7959193e,senado,PROVINCIA DE SALTA SALTA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,2021-12-10,2023-12-09,FdT-UxP (kirchnerismo),wikipedia:2021-2023,
Gladys González,GLADYS GONZALEZ,leg:2dc06c4916f1,senado,PROVINCIA DE BUENOS AIRES BUENOS AIRES,FRENTE PRO,FRENTE PRO,2019-12-10,2021-12-09,PRO,wikipedia:2019-2021,
"GONZÁLEZ, MARÍA TERESA MARGARITA",GONZALEZ MARGARITA MARIA TERESA,leg:83269a4ef00b,senado,FORMOSA,JUSTICIALISTA,JUSTICIALISTA,2017-12-10,2019-12-09,PERONISMO FEDERAL,wikipedia:2017-2019,
"GONZÁLEZ, MARÍA TERESA MARGARITA",GONZALEZ MARGARITA MARIA TERESA,leg:83269a4ef00b,senado,PROVINCIA DE FORMOSA FORMOSA,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
"GONZÁLEZ, MARÍA TERESA MARGARITA",GONZALEZ MARGARITA MARIA TERESA,leg:83269a4ef00b,senado,PROVINCIA DE FORMOSA FORMOSA,FRENTE NACIONAL Y POPULAR,FRENTE NACIONAL Y POPULAR,2021-12-10,2023-12-09,FdT-UxP (kirchnerismo),wikipedia:2021-2023,
"GONZÁLEZ, MARÍA TERESA MARGARITA",GONZALEZ MARGARITA MARIA TERESA,leg:83269a4ef00b,senado,FORMOSA,JUSTICIALISTA,JUSTICIALISTA,2023-12-10,2029-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
Nancy Susana González,GONZALEZ NANCY SUSANA,leg:91c6d0e82886,senado,CHUBUT,FRENTE PARA LA VICTORIA-PJ,FRENTE PARA LA VICTORIA,2017-12-10,2019-12-09,FdT-UxP (kirchnerismo),wikipedia:2017-2019,
Nancy Susana González,GONZALEZ NANCY SUSANA,leg:91c6d0e82886,senado,PROVINCIA DEL CHUBUT CHUBUT,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
Guadalupe Tagliaferri,GUADALUPE TAGLIAFERRI,leg:1a0cfa0baf40,senado,CIUDAD DE BUENOS AIRES CIUDAD DE BUENOS AIRES,FRENTE PRO,FRENTE PRO,2019-12-10,2025-12-09,PRO,wikipedia:2019-2021,
Guillermo Juan Pereyra,GUILLERMO JUAN PEREYRA,leg:8f3cb98448bc,senado,NEUQUEN,MOVIMIENTO POPULAR NEUQUINO,MOVIMIENTO POPULAR NEUQUINO,2017-12-10,2019-12-09,OTRO / PROVINCIAL,wikipedia:2017-2019,
"HUALA, MARÍA VICTORIA",HUALA MARIA VICTORIA,leg:d7472254e20c,senado,LA PAMPA,FRENTE PRO,FRENTE PRO,2021-12-10,2027-12-09,PRO,oficial:nomina_senado,
"SORIA, MARTIN IGNACIO",IGNACIO MARTIN SORIA,leg:edddacdc0406,senado,RÍO NEGRO,JUSTICIALISTA,JUSTICIALISTA,2025-12-10,2031-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
María Inés Pilatti Vergara,INES MARIA PILATTI VERGARA,leg:acd7932a7695,senado,CHACO,FRENTE PARA LA VICTORIA-PJ,FRENTE PARA LA VICTORIA,2017-12-10,2019-12-09,FdT-UxP (kirchnerismo),wikipedia:2017-2019,
María Inés Pilatti Vergara,INES MARIA PILATTI VERGARA,leg:acd7932a7695,senado,PROVINCIA DEL CHACO CHACO,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
María Inés Pilatti Vergara,INES MARIA PILATTI VERGARA,leg:acd7932a7695,senado,PROVINCIA DEL CHACO CHACO,FRENTE NACIONAL Y POPULAR,FRENTE NACIONAL Y POPULAR,2021-12-10,2025-12-09,FdT-UxP (kirchnerismo),wikipedia:2021-2023,
Oscar Isidro Parrilli,ISIDRO OSCAR PARRILLI,leg:f8bc26353dad,senado,PROVINCIA DEL NEUQUEN NEUQUEN,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
Oscar Isidro Parrilli,ISIDRO OSCAR PARRILLI,leg:f8bc26353dad,senado,PROVINCIA DEL NEUQUEN NEUQUEN,UNIDAD CIUDADANA,UNIDAD CIUDADANA,2021-12-10,2023-12-09,FdT-UxP (kirchnerismo),wikipedia:2021-2023,
José María Torello,JOSE MARIA TORELLO,leg:99f8538a141f,senado,PROVINCIA DE BUENOS AIRES BUENOS AIRES,FRENTE PRO,FRENTE PRO,2022-02-24,2023-12-09,PRO,wikipedia:2021-2023,
José Rubén Uñac,JOSE RUBEN UNAC,leg:db01609f5553,senado,SAN JUAN,JUSTICIALISTA,JUSTICIALISTA,2017-12-10,2019-12-09,PERONISMO FEDERAL,wikipedia:2017-2019,
José Rubén Uñac,JOSE RUBEN UNAC,leg:db01609f5553,senado,PROVINCIA DE SAN JUAN (ARGENTINA) SAN JUAN,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
José Rubén Uñac,JOSE RUBEN UNAC,leg:db01609f5553,senado,PROVINCIA DE SAN JUAN (ARGENTINA) SAN JUAN,FRENTE NACIONAL Y POPULAR,FRENTE NACIONAL Y POPULAR,2021-12-10,2023-12-09,FdT-UxP (kirchnerismo),wikipedia:2021-2023,
"MANZUR, JUAN LUIS",JUAN LUIS MANZUR,leg:04ca1c3ebaf3,senado,TUCUMÁN,JUSTICIALISTA,JUSTICIALISTA,2023-12-09,2029-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
Juan Mario Pais,JUAN MARIO PAIS,leg:9618b6a4c8ff,senado,CHUBUT,JUSTICIALISTA CHUBUT,JUSTICIALISTA CHUBUT,2017-12-10,2019-12-09,OTRO / PROVINCIAL,wikipedia:2017-2019,
Juan Mario Pais,JUAN MARIO PAIS,leg:9618b6a4c8ff,senado,PROVINCIA DEL CHUBUT CHUBUT,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
"MÁRQUEZ, NADIA JUDITH",JUDITH MARQUEZ NADIA,leg:57254b3ceb59,senado,NEUQUÉN,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-12-10,2031-12-09,LA LIBERTAD AVANZA,oficial:nomina_senado,
"DI TULLIO, JULIANA",JULIANA TULLIO,leg:4a6576cec5b4,senado,PROVINCIA DE BUENOS AIRES BUENOS AIRES,FRENTE DE TODOS,FRENTE DE TODOS,2021-08-19,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
"DI TULLIO, JULIANA",JULIANA TULLIO,leg:4a6576cec5b4,senado,PROVINCIA DE BUENOS AIRES BUENOS AIRES,UNIDAD CIUDADANA,UNIDAD CIUDADANA,2021-12-10,2023-12-09,FdT-UxP (kirchnerismo),wikipedia:2021-2023,
"DI TULLIO, JULIANA",JULIANA TULLIO,leg:4a6576cec5b4,senado,BUENOS AIRES,JUSTICIALISTA,JUSTICIALISTA,2023-12-10,2029-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
Rodolfo Julio Urtubey,JULIO RODOLFO URTUBEY,leg:0e5c1a1d2b67,senado,SALTA,JUSTICIALISTA,JUSTICIALISTA,2017-12-10,2019-12-09,PERONISMO FEDERAL,wikipedia:2017-2019,
"JURI, MARIANA",JURI MARIANA,leg:e4d7e929922b,senado,MENDOZA,UCR - UNIÓN CÍVICA RADICAL,UCR,2021-12-10,2027-12-09,RADICALISMO,oficial:nomina_senado,
Sergio Napoleón Leavy,LEAVY NAPOLEON SERGIO,leg:c2b1b96df87d,senado,PROVINCIA DE SALTA SALTA,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
Sergio Napoleón Leavy,LEAVY NAPOLEON SERGIO,leg:c2b1b96df87d,senado,PROVINCIA DE SALTA SALTA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,2021-12-10,2023-12-09,FdT-UxP (kirchnerismo),wikipedia:2021-2023,
Sergio Leavy,LEAVY SERGIO,leg:38e20c5523d0,senado,PROVINCIA DE SALTA SALTA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,2023-12-10,2025-12-09,FdT-UxP (kirchnerismo),wikipedia:2023-2025,
"LEWANDOWSKI, MARCELO NÉSTOR",LEWANDOWSKI MARCELO NESTOR,leg:62b367357604,senado,SANTA FE,JUSTICIALISTA,JUSTICIALISTA,2021-12-10,2027-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
"SCHNEIDER, SILVANA LORENA",LORENA SCHNEIDER SILVANA,leg:2d740e1e4ba0,senado,CHACO,UCR - UNIÓN CÍVICA RADICAL,UCR,2025-12-10,2031-12-09,RADICALISMO,oficial:nomina_senado,
Martín Lousteau,LOUSTEAU MARTIN,leg:24603d4cc9b5,senado,CIUDAD DE BUENOS AIRES CIUDAD DE BUENOS AIRES,UNIÓN CÍVICA RADICAL,UCR,2019-12-10,2025-12-09,RADICALISMO,wikipedia:2019-2021,linaje: override manual
María Magdalena Odarda,MAGDALENA MARIA ODARDA,leg:fbca188a0f1d,senado,RIO NEGRO,RÍO-FRENTE PROGRESISTA,RIO-FRENTE PROGRESISTA,2017-12-10,2019-12-09,OTRO / PROVINCIAL,wikipedia:2017-2019,
Magdalena Solari Quintana,MAGDALENA QUINTANA SOLARI,leg:18fcfde61814,senado,MISIONES,MISIONES,MISIONES,2017-12-10,2023-12-09,OTRO / PROVINCIAL,wikipedia:2017-2019,
"RECALDE, MARIANO",MARIANO RECALDE,leg:5ad083fe9289,senado,CIUDAD DE BUENOS AIRES CIUDAD DE BUENOS AIRES,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
"RECALDE, MARIANO",MARIANO RECALDE,leg:5ad083fe9289,senado,CIUDAD DE BUENOS AIRES CIUDAD DE BUENOS AIRES,FRENTE NACIONAL Y POPULAR,FRENTE NACIONAL Y POPULAR,2021-12-10,2025-12-09,FdT-UxP (kirchnerismo),wikipedia:2021-2023,
"RECALDE, MARIANO",MARIANO RECALDE,leg:5ad083fe9289,senado,CIUDAD AUTÓNOMA DE BUENOS AIRES,JUSTICIALISTA,JUSTICIALISTA,2025-12-10,2031-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
"MENDOZA, SANDRA MARIELA",MARIELA MENDOZA SANDRA,leg:e0198c8fa4b4,senado,TUCUMÁN,CONVICCIÓN FEDERAL,CONVICCION FEDERAL,2021-12-10,2027-12-09,OTRO / PROVINCIAL,oficial:nomina_senado,
Roberto Mario Mirabella,MARIO MIRABELLA ROBERTO,leg:d8d4c64f74d8,senado,PROVINCIA DE SANTA FE SANTA FE,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
Stella Maris Olalla de Moreira,MARIS MOREIRA OLALLA STELLA,leg:1935b1a636bc,senado,PROVINCIA DE ENTRE RIOS ENTRE RIOS,UNIÓN CÍVICA RADICAL,UCR,2023-12-10,2025-12-09,RADICALISMO,wikipedia:2023-2025,
Marta Varela,MARTA VARELA,leg:8ad273407518,senado,CIUDAD DE BUENOS AIRES,FRENTE PRO,FRENTE PRO,2017-12-10,2019-12-09,PRO,wikipedia:2017-2019,
"UÑAC, SERGIO MAURICIO",MAURICIO SERGIO UNAC,leg:c27e54fe8879,senado,SAN JUAN,JUSTICIALISTA,JUSTICIALISTA,2023-12-10,2029-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
Oscar Parrilli,OSCAR PARRILLI,leg:3fd3382571d8,senado,PROVINCIA DEL NEUQUEN NEUQUEN,UNIDAD CIUDADANA,UNIDAD CIUDADANA,2023-12-10,2025-12-09,FdT-UxP (kirchnerismo),wikipedia:2023-2025,
Pablo Yedlin,PABLO YEDLIN,leg:7b891b023a1c,senado,PROVINCIA DE TUCUMAN TUCUMAN,FRENTE NACIONAL Y POPULAR,FRENTE NACIONAL Y POPULAR,2021-12-10,2023-12-09,FdT-UxP (kirchnerismo),wikipedia:2021-2023,
Silvia Sapag,SAPAG SILVIA,leg:9170cb713529,senado,PROVINCIA DEL NEUQUEN NEUQUEN,UNIDAD CIUDADANA,UNIDAD CIUDADANA,2023-12-10,2025-12-09,FdT-UxP (kirchnerismo),wikipedia:2023-2025,
Víctor Zimmermann,VICTOR ZIMMERMANN,leg:2845a15051f1,senado,PROVINCIA DEL CHACO CHACO,UNIÓN CÍVICA RADICAL,UCR,2019-12-10,2025-12-09,RADICALISMO,wikipedia:2019-2021,
