legislador,clave,legislador_id,camara,distrito,bloque,bloque_norm,desde,hasta,bloque_linaje,fuente,nota
"GARCIA, Francisco Alberto",ALBERTO FRANCISCO GARCIA,leg:9071110ffc13,diputados,Mendoza,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"GARIGLIO, Juan Miguel",GARIGLIO JUAN MIGUEL,leg:c0510e73c938,diputados,Santa Fe,FREPASO,FREPASO,2001-10-03,2001-12-09,PROGRESISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"GASTAÑAGA, Graciela Ines",GASTANAGA GRACIELA INES,leg:dec6d246a99d,diputados,Buenos Aires,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"GEIJO, Angel Oscar",ANGEL GEIJO OSCAR,leg:7215c48e99c2,diputados,Chaco,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"GIANNETTASIO, Graciela María",GIANNETTASIO GRACIELA MARIA,leg:6cc18005c983,diputados,Buenos Aires,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"GILES, Guillermo Jorge",GILES GUILLERMO JORGE,leg:fe9e8e1c5467,diputados,Buenos Aires,FREPASO,FREPASO,2001-10-03,2001-12-09,PROGRESISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"GIUSTINIANI, Rubén Hector",GIUSTINIANI HECTOR RUBEN,leg:3fb963db3449,diputados,Santa Fe,FREPASO,FREPASO,2001-10-03,2001-12-09,PROGRESISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"GODOY, Norma",GODOY NORMA,leg:8cf1bcec2477,diputados,Buenos Aires,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"GOMEZ DIEZ, Ricardo",DIEZ GOMEZ RICARDO,leg:7e29395a7404,diputados,Salta,Renovador de Salta,RENOVADOR DE SALTA,2001-10-03,2001-12-09,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"GONZALEZ CABAÑAS, José Armando",ARMANDO CABANAS GONZALEZ JOSE,leg:5096d2cafbff,diputados,Corrientes,Frente Partido Nuevo,FRENTE PARTIDO NUEVO,2001-10-03,2001-12-09,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"GONZALEZ, María América",AMERICA GONZALEZ MARIA,leg:c72f492e8ea2,diputados,Cdad.Aut.Bs.As.,FREPASO,FREPASO,2001-10-03,2001-12-09,PROGRESISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"GONZALEZ, Oscar Roberto",GONZALEZ OSCAR ROBERTO,leg:b68b2cba17c4,diputados,Buenos Aires,A.R.I,A.R.I,2001-10-03,2001-12-09,COALICION CIVICA,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"GORVEIN, Diego Rodolfo",DIEGO GORVEIN RODOLFO,leg:99d57a8cb41b,diputados,Formosa,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"GRANADOS, Dulce",DULCE GRANADOS,leg:ee5b38826902,diputados,Buenos Aires,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"GROSSO, Edgardo Roger Miguel",EDGARDO GROSSO MIGUEL ROGER,leg:bfe48490f288,diputados,Córdoba,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"GUEVARA, Cristina Rosalía",CRISTINA GUEVARA ROSALIA,leg:5d61a176098f,diputados,Cdad.Aut.Bs.As.,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"GUTIERREZ, Gustavo Eduardo",EDUARDO GUSTAVO GUTIERREZ,leg:a13f9f7f3648,diputados,Mendoza,Demócrata de Mendoza,DEMOCRATA DE MENDOZA,2001-10-03,2001-12-09,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"HERNANDEZ, Simón Fermín",FERMIN HERNANDEZ SIMON,leg:1599715a7b6d,diputados,Catamarca,Frente Cívico Social,FRENTE CIVICO SOCIAL,2001-10-03,2001-12-09,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"HERRERA PAEZ, Enzo Thelismar",ENZO HERRERA PAEZ THELISMAR,leg:832348bf8dae,diputados,La Rioja,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"HERRERA, Alberto",ALBERTO HERRERA,leg:963b42e89e03,diputados,Tucumán,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"HERZOVICH, María Elena",ELENA HERZOVICH MARIA,leg:2f27c50238d3,diputados,Entre Ríos,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"HONCHERUK, Atlanto",ATLANTO HONCHERUK,leg:94bfc191f7d1,diputados,Chaco,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"INDA, Graciela Ester",ESTER GRACIELA INDA,leg:f11782d8cfe8,diputados,Cdad.Aut.Bs.As.,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"INSFRAN, Miguel Angel",ANGEL INSFRAN MIGUEL,leg:e2f6ad009da7,diputados,Formosa,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"IPARRAGUIRRE, Carlos Raúl",CARLOS IPARRAGUIRRE RAUL,leg:a90daba8464f,diputados,Santa Fe,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"JENEFES, Guillermo Raul",GUILLERMO JENEFES RAUL,leg:2382d177b117,diputados,Jujuy,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"JOBE, Miguel Antonio",ANTONIO JOBE MIGUEL,leg:919e40152470,diputados,Buenos Aires,Unidad Bonaerense,UNIDAD BONAERENSE,2001-10-03,2001-10-30,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 3 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"KENT de SAADI, María del Pilar",KENT MARIA PILAR SAADI,leg:f1a88cf69502,diputados,Catamarca,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"LAFALLA, Arturo Pedro",ARTURO LAFALLA PEDRO,leg:9d43c72e18f1,diputados,Mendoza,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"LAMBERTO, Oscar Santiago",LAMBERTO OSCAR SANTIAGO,leg:d87a58e93c3d,diputados,Santa Fe,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"LAMISOVSKY, Arnaldo",ARNALDO LAMISOVSKY,leg:394b895ab817,diputados,Córdoba,Acción por la República,ACCION POR LA REPUBLICA,2001-10-03,2001-12-09,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"LANZA, José Luis",JOSE LANZA LUIS,leg:697e6d15d718,diputados,Cdad.Aut.Bs.As.,FREPASO,FREPASO,2001-10-03,2001-12-09,PROGRESISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"LARRABURU, Damaso",DAMASO LARRABURU,leg:e566efe3db34,diputados,Buenos Aires,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"LATORRE, Roxana Itati",ITATI LATORRE ROXANA,leg:892ed1d2e160,diputados,Santa Fe,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"LEYBA de MARTI, Beatriz",BEATRIZ LEYBA MARTI,leg:69aee46d8495,diputados,Córdoba,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"LINARES, María del Carmen",CARMEN LINARES MARIA,leg:1bb4b3f42c0e,diputados,Chubut,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"LISSI, Liliana",LILIANA LISSI,leg:8f1e94a88ed8,diputados,Santa Fe,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"LIX KLETT, Roberto Ignacio",IGNACIO KLETT LIX ROBERTO,leg:01d3537d1cc1,diputados,Tucumán,Fuerza Republicana,FUERZA REPUBLICANA,2001-10-03,2001-12-09,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"LLAMOSAS, Fernando Elías",ELIAS FERNANDO LLAMOSAS,leg:756777d50a51,diputados,Misiones,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"LOPEZ ARIAS, Marcelo Eduardo",ARIAS EDUARDO LOPEZ MARCELO,leg:c8e7ab5e98ab,diputados,Salta,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"LORENZO, Antonio Arnaldo",ANTONIO ARNALDO LORENZO,leg:eb13db06740e,diputados,San Luis,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"LUSQUIÑOS, Luis Bernardo",BERNARDO LUIS LUSQUINOS,leg:731a7ef33986,diputados,San Luis,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"LYNCH, Juan Carlos",CARLOS JUAN LYNCH,leg:692d3ff8efb4,diputados,Cdad.Aut.Bs.As.,Partido Demócrata por la Capital Federal,PARTIDO DEMOCRATA POR LA CAPITAL FEDERAL,2001-10-03,2001-12-09,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"LÖFFLER, Ernesto Adrian",ADRIAN ERNESTO LOFFLER,leg:d2c90e6c463f,diputados,Tierra del Fuego,Movimiento Popular Fueguino,MOVIMIENTO POPULAR FUEGUINO,2001-10-03,2001-12-09,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"MACALUSE, Eduardo Gabriel",EDUARDO GABRIEL MACALUSE,leg:f0d54fe55ab6,diputados,Buenos Aires,FREPASO,FREPASO,2001-10-03,2001-10-30,PROGRESISMO,derivado:canonica,mandato inferido de 3 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"MAESTRO, Carlos",CARLOS MAESTRO,leg:5138cd461085,diputados,Chubut,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"MANZOTTI, Mabel Gladys",GLADYS MABEL MANZOTTI,leg:14a8436635de,diputados,Buenos Aires,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"MARELLI, Mabel",MABEL MARELLI,leg:7c30561d0469,diputados,Misiones,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"MARTINEZ, Gerardo Alberto",ALBERTO GERARDO MARTINEZ,leg:ccaf175bf366,diputados,Buenos Aires,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"MARTINEZ, Manuel Luis",LUIS MANUEL MARTINEZ,leg:0e3478c64e77,diputados,Buenos Aires,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"MARTINEZ, Silvia Virginia",MARTINEZ SILVIA VIRGINIA,leg:3c19b9476d25,diputados,Buenos Aires,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"MASTROGIACOMO, Miguel Angel",ANGEL MASTROGIACOMO MIGUEL,leg:4b2f04f386db,diputados,Buenos Aires,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"MATZKIN, Jorge Rubén",JORGE MATZKIN RUBEN,leg:0ef104e9a12d,diputados,La Pampa,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"MAYANS, María Susana",MARIA MAYANS SUSANA,leg:c5c9b57692f9,diputados,Jujuy,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"MELILLO, Fernando Cesar",CESAR FERNANDO MELILLO,leg:16ad68a2164f,diputados,Cdad.Aut.Bs.As.,FREPASO,FREPASO,2001-10-03,2001-12-09,PROGRESISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"MENDEZ de MEDINA LAREU, Catalina",CATALINA LAREU MEDINA MENDEZ,leg:844b694eea93,diputados,Corrientes,Frente Partido Nuevo,FRENTE PARTIDO NUEVO,2001-10-03,2001-12-09,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"MENEM, Eduardo Adrián",ADRIAN EDUARDO MENEM,leg:9d2aabfe25d4,diputados,La Rioja,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"MERLO de RUIZ, María Celestina",CELESTINA MARIA MERLO RUIZ,leg:27c3b1cf0727,diputados,San Luis,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"MEZA, Martha Elizabeth",ELIZABETH MARTHA MEZA,leg:957e79db0d37,diputados,Formosa,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"MILESI, Marta Silvia",MARTA MILESI SILVIA,leg:9edaa904a9b2,diputados,Rio Negro,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"MILLET, Juan Carlos",CARLOS JUAN MILLET,leg:dc267b544b8f,diputados,Santa Fe,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"MIRALLES de ROMERO, Norma",MIRALLES NORMA ROMERO,leg:75abeeae71be,diputados,Neuquén,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"MONTOYA, Fernando Ramón",FERNANDO MONTOYA RAMON,leg:a2a556a5a868,diputados,Córdoba,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"MORENO RAMIREZ, Arturo Jorge",ARTURO JORGE MORENO RAMIREZ,leg:057ea4f4ae79,diputados,San Juan,Desarrollo y Justicia,DESARROLLO Y JUSTICIA,2001-10-03,2001-12-09,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"MOSSO, Ana Maria",ANA MARIA MOSSO,leg:183974b93170,diputados,Mendoza,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"MOURIÑO, Javier",JAVIER MOURINO,leg:b4d0fe8bf310,diputados,Cdad.Aut.Bs.As.,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"MUKDISE, Miguel Roberto Daives",DAIVES MIGUEL MUKDISE ROBERTO,leg:bfb184674bc4,diputados,Santiago del Estero,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"MULLER, Mabel Hilda",HILDA MABEL MULLER,leg:9439ae9bb801,diputados,Buenos Aires,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"NATALE, Alberto Adolfo",ADOLFO ALBERTO NATALE,leg:d21e1cbd7bd5,diputados,Santa Fe,Demócrata Progresista,DEMOCRATA PROGRESISTA,2001-10-03,2001-12-09,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"NEME-SCHEIJ, Alfredo",ALFREDO NEME SCHEIJ,leg:b2de137996d9,diputados,Tucumán,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"NICOTRA, Norberto Reynaldo",NICOTRA NORBERTO REYNALDO,leg:220786c9055d,diputados,Santa Fe,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"NIETO BRIZUELA, Benjamín Ricardo",BENJAMIN BRIZUELA NIETO RICARDO,leg:25587bb60385,diputados,La Rioja,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"NIEVA, Alejandro Mario",ALEJANDRO MARIO NIEVA,leg:a0c566cb28a5,diputados,Jujuy,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"NOFAL, Beatriz",BEATRIZ NOFAL,leg:4ecfcd328f66,diputados,Cdad.Aut.Bs.As.,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"OBEID, Jorge Alberto",ALBERTO JORGE OBEID,leg:21ef1bc6d935,diputados,Santa Fe,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"OLIVERO, Juan Carlos",CARLOS JUAN OLIVERO,leg:b42af89f60d0,diputados,La Pampa,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"OROZCO, Jorge Alberto",ALBERTO JORGE OROZCO,leg:aabadfb0d1f4,diputados,Buenos Aires,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"ORTEGA, Marta Isabel",ISABEL MARTA ORTEGA,leg:94edbb4c1fab,diputados,Córdoba,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"OVIEDO, Alejandra Beatriz",ALEJANDRA BEATRIZ OVIEDO,leg:0c21200b5452,diputados,La Rioja,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"PAMPURO, Jose Juan Bautista",BAUTISTA JOSE JUAN PAMPURO,leg:77e02ebf7af0,diputados,Buenos Aires,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"PARENTELLA, Irma Fidela",FIDELA IRMA PARENTELLA,leg:9c0a2c1da99a,diputados,Cdad.Aut.Bs.As.,FREPASO,FREPASO,2001-10-03,2001-12-09,PROGRESISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"PASCUAL, Jorge Raul",JORGE PASCUAL RAUL,leg:4ef8fdc9127b,diputados,Rio Negro,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"PASSO, Juan Carlos",CARLOS JUAN PASSO,leg:d918e8107361,diputados,La Pampa,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"PATTERSON, Ricardo Ancell",ANCELL PATTERSON RICARDO,leg:c9e6219ef550,diputados,Santa Cruz,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 12 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"PELAEZ, Victor",PELAEZ VICTOR,leg:0c2186d131bb,diputados,Neuquén,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"PEPE, Lorenzo Antonio",ANTONIO LORENZO PEPE,leg:709c8085d6c0,diputados,Buenos Aires,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"PEREZ, Jorge Telmo",JORGE PEREZ TELMO,leg:9926f411a683,diputados,Buenos Aires,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"PERNASETTI, Horacio Francisco",FRANCISCO HORACIO PERNASETTI,leg:9b31dcb3fb06,diputados,Catamarca,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"PEYROU, Alejandro Apolinario",ALEJANDRO APOLINARIO PEYROU,leg:d96440a34115,diputados,Buenos Aires,FREPASO,FREPASO,2001-10-03,2001-12-09,PROGRESISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"PICAZO, Sarah Ana",ANA PICAZO SARAH,leg:3de261354d43,diputados,Santa Fe,Unión Cívica Radical,UCR,2001-10-03,2001-12-09,RADICALISMO,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"PICHETTO, Miguel Angel",ANGEL MIGUEL PICHETTO,leg:5daaefa4774c,diputados,Rio Negro,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
"PIERRI, Alberto Reinaldo",ALBERTO PIERRI REINALDO,leg:bdab94447aee,diputados,Buenos Aires,Justicialista,JUSTICIALISTA,2001-10-03,2001-12-09,PERONISMO FEDERAL,derivado:canonica,mandato inferido de 15 voto(s) en el período 1999-2001; inicio = primer voto (posible reemplazo)
