Apellido,Nombre,Distrito,IniciaMandato,FinalizaMandato,Bloque
Perez,Jorge Raul,Santiago del Estero,2007-12-10,2011-11-11,Frente Civico por Santiago
Portela,Agustin Alberto,Corrientes,2007-12-10,2011-12-09,Ucr
Portela,Agustin Alberto,Corrientes,2011-12-10,2015-12-09,Ucr
Prieto,Hugo Nelson,Neuquen,2007-12-10,2011-12-09,De la Concertacion
Rejal,Jesus Fernando,La Rioja,2007-12-10,2009-11-24,Frente para la Victoria - Pj
Rossi,Alejandro Luis,Santa Fe,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Rossi,Cipriana Lorena,Rio Negro,2011-10-26,2011-12-09,Union Peronista
Sciutto,Ruben Dario,Tierra del Fuego,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Sciutto,Ruben Dario,Tierra del Fuego,2013-09-26,2015-12-09,Peronismo Mas al Sur
Storni,Silvia,Cordoba,2007-12-10,2011-12-09,Ucr
Urlich,Carlos,Chaco,2007-12-10,2011-12-09,Ucr
Viale,Lisandro Alfredo,Entre Rios,2007-12-10,2011-12-09,Partido Socialista
Vilariño,Jose Antonio,Salta,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Vilariño,Jose Antonio,Salta,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Zavallo,Gustavo Marcelo,Entre Rios,2009-07-28,2011-12-09,Peronismo Federal
Gullo,Juan Carlos Dante,Ciudad de Buenos Aires,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Reyes,Maria Fernanda,Ciudad de Buenos Aires,2009-12-10,2011-12-09,Coalicion Civica
Iglesias,Fernando Adolfo,Ciudad de Buenos Aires,2009-12-10,2011-12-09,Coalicion Civica
Iglesias,Fernando Adolfo,Ciudad de Buenos Aires,2017-12-10,2021-12-09,Pro
Iglesias,Fernando Adolfo,Ciudad de Buenos Aires,2023-12-10,2025-12-09,Pro
Martinez Oddone,Heriberto Agustin,Cordoba,2007-12-10,2011-12-09,Ucr
Fellner,Eduardo Alfredo,Jujuy,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Baldata,Griselda Angela,Cordoba,2009-12-10,2011-12-09,Coalicion Civica
Vega,Juan Carlos,Cordoba,2009-12-10,2011-12-09,Coalicion Civica
Martiarena,Mario Humberto,Jujuy,2009-09-09,2011-12-09,Peronismo Jujeño
Paredes Urquiza,Alberto Nicolas,La Rioja,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Llera,Timoteo,Misiones,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Perie,Julia Argentina,Misiones,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Perie,Julia Argentina,Misiones,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Scalesi,Juan Carlos,Rio Negro,2008-08-14,2011-12-09,Consenso Federal
Torfe,Monica Liliana,Salta,2007-12-10,2011-12-09,Renovador de Salta
Randazzo,Florencio,Buenos Aires,2024-08-07,2025-12-09,Encuentro Federal
Lousteau,Martin,Ciudad de Buenos Aires,2013-12-10,2016-02-29,Suma + Unen
Lousteau,Martin,Ciudad de Buenos Aires,2017-12-10,2019-12-09,Evolucion Radical
Lousteau,Martin,Ciudad de Buenos Aires,2025-12-10,2029-12-09,Provincias Unidas
Rodriguez,Evaristo Arturo,Santa Cruz,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Parrilli,Nanci Maria Agustina,Neuquen,2013-12-10,2015-12-09,Frente para la Victoria - Pj
Cobos,Julio,Mendoza,2013-12-10,2015-12-09,Ucr
Cobos,Julio,Mendoza,2023-12-10,2025-12-09,Ucr - Unión Cívica Radical
Alcuaz,Horacio Alberto,Buenos Aires,2009-11-12,2011-12-09,Gen
Argüello,Octavio,Buenos Aires,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Bidegain,Gloria Mercedes,Buenos Aires,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Bidegain,Gloria Mercedes,Buenos Aires,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Cuccovillo,Ricardo Oscar,Buenos Aires,2007-12-10,2011-12-09,Partido Socialista
Cuccovillo,Ricardo Oscar,Buenos Aires,2011-12-10,2015-12-09,Partido Socialista
Carca,Elisa Beatriz,Buenos Aires,2009-12-10,2011-12-09,Coalicion Civica
Donda Perez,Victoria Analia,Buenos Aires,2009-12-10,2011-12-09,Libres del Sur
Donda Perez,Victoria Analia,Buenos Aires,2011-12-10,2015-12-09,Libres del Sur
Donda Perez,Victoria Analia,Ciudad de Buenos Aires,2018-10-30,2019-12-09,Somos
Donda Perez,Victoria Analia,Ciudad de Buenos Aires,2019-12-10,2019-12-10,Frente de Todos
Flores,Hector,Buenos Aires,2009-12-10,2011-12-09,Coalicion Civica
Flores,Hector,Buenos Aires,2017-12-10,2021-12-09,Coalicion Civica
Gribaudo,Christian Alejandro,Buenos Aires,2007-12-10,2011-12-09,Pro
