Apellido,Nombre,Distrito,IniciaMandato,FinalizaMandato,Bloque
Cabandie,Juan,Ciudad de Buenos Aires,2013-12-10,2017-12-09,Frente para la Victoria - Pj
Cabandie,Juan,Ciudad de Buenos Aires,2017-12-10,2019-12-09,Frente para la Victoria - Pj
Carrizo,Ana Carla,Ciudad de Buenos Aires,2016-02-19,2017-12-09,Ucr
Carrizo,Ana Carla,Ciudad de Buenos Aires,2019-12-10,2021-12-09,Ucr
Carrizo,Ana Carla,Ciudad de Buenos Aires,2024-10-24,2025-12-09,Democracia para Siempre
Mazure,Liliana Amalia,Ciudad de Buenos Aires,2013-12-10,2017-12-09,Frente para la Victoria - Pj
Sturzenegger,Federico Adolfo,Ciudad de Buenos Aires,2013-12-10,2015-12-09,Union Pro
Baldassi,Hector W.,Cordoba,2013-12-10,2017-12-09,Union Pro
Baldassi,Hector W.,Cordoba,2017-12-10,2021-12-09,Pro
Baldassi,Hector W.,Cordoba,2023-12-10,2025-12-09,Pro
Carrizo,Soledad,Cordoba,2013-12-10,2017-12-09,Ucr
Carrizo,Soledad,Cordoba,2017-12-10,2021-12-09,Ucr
Carrizo,Soledad,Cordoba,2023-12-10,2025-12-09,Ucr - Unión Cívica Radical
Gill,Martin Rodrigo,Cordoba,2013-12-10,2015-12-09,Frente para la Victoria - Pj
Mestre,Diego Matias,Cordoba,2013-12-10,2017-12-09,Ucr
Mestre,Diego Matias,Cordoba,2017-12-10,2021-12-09,Ucr
Rossi,Blanca Araceli,Cordoba,2016-03-01,2017-12-09,Unidos por una Nueva Argentina
Scotto,Silvia Carolina,Cordoba,2013-12-10,2014-08-26,Frente para la Victoria - Pj
Rubin,Carlos Gustavo,Corrientes,2016-02-04,2017-12-09,Justicialista
Semhan,Maria de las Mercedes,Corrientes,2015-12-10,2017-12-09,Ucr
Valdes,Gustavo Adolfo,Corrientes,2013-12-10,2017-12-09,Ucr
Barreto,Jorge Ruben,Entre Rios,2013-12-10,2017-12-09,Frente para la Victoria - Pj
D'agostino,Jorge Marcelo,Entre Rios,2013-12-10,2017-12-09,Ucr
Gaillard,Ana Carolina,Entre Rios,2013-12-10,2017-12-09,Frente para la Victoria - Pj
Gaillard,Ana Carolina,Entre Rios,2019-12-19,2021-12-09,Frente de Todos
Gaillard,Ana Carolina,Entre Rios,2023-12-10,2025-12-09,Unión por la Patria
Burgos,Maria Gabriela,Jujuy,2013-12-10,2017-12-09,Ucr
Burgos,Maria Gabriela,Jujuy,2017-12-10,2021-12-09,Ucr
Tentor,Hector Olindo,Jujuy,2016-02-04,2017-12-09,Justicialista
Fernandez Mendia,Gustavo Rodolfo,La Pampa,2016-02-04,2017-12-09,Justicialista
Mac Allister,Carlos Javier,La Pampa,2013-12-10,2015-12-28,Union Pro
Torroba,Francisco Javier,La Pampa,2013-12-10,2017-12-09,Ucr
Madera,Teresita,La Rioja,2016-02-04,2017-12-09,Justicialista
Abraham,Alejandro,Mendoza,2013-12-13,2017-12-09,Frente para la Victoria - Pj
Del Caño,Nicolas,Mendoza,2013-12-10,2015-12-02,Pts - Frente de Izquierda
Del Caño,Nicolas,Buenos Aires,2017-12-10,2021-06-10,Pts - Frente de Izquierda
Del Caño,Nicolas,Buenos Aires,2024-06-11,2025-07-02,Pts-Frente de Izquierda Unidad
Del Caño,Nicolas,Buenos Aires,2026-04-07,2029-12-09,Pts-Frente de Izquierda y de Trabajadores Unidad
Gimenez,Patricia Viviana,Mendoza,2013-12-10,2017-12-09,Ucr
Petri,Luis,Mendoza,2013-12-10,2017-12-09,Ucr
Petri,Luis,Mendoza,2017-12-10,2021-12-09,Ucr
Petri,Luis,Mendoza,2025-12-10,2029-12-09,La Libertad Avanza
Pastori,Luis Mario,Misiones,2013-12-10,2017-12-09,Ucr
Pastori,Luis Mario,Misiones,2017-12-10,2021-12-09,Ucr
San Martin,Adrian,Neuquen,2013-12-10,2017-12-09,Mov Pop Neuquino
Villar Molina,Maria Ines,Neuquen,2013-12-10,2017-12-09,Mov Pop Neuquino
Bardeggia,Luis Maria,Rio Negro,2013-12-10,2017-12-09,Frente para la Victoria - Pj
Soria,Maria Emilia,Rio Negro,2013-12-10,2017-12-09,Frente para la Victoria - Pj
Soria,Maria Emilia,Rio Negro,2017-12-10,2019-12-02,Frente para la Victoria - Pj
Durand Cornejo,Guillermo Mario,Salta,2016-03-08,2017-12-09,Union Pro
Isa,Evita Nelida,Salta,2016-02-04,2017-12-09,Justicialista
Lopez,Pablo Sebastian,Salta,2013-12-10,2017-12-09,Frente de Izquierda y de los Trabajadores
Caceres,Eduardo Augusto,San Juan,2013-12-10,2017-12-09,Union Pro
Caceres,Eduardo Augusto,San Juan,2017-12-10,2021-12-09,Pro
Castro,Sandra Daniela,San Juan,2013-12-10,2017-12-09,Frente para la Victoria - Pj
Castro,Sandra Daniela,San Juan,2017-12-10,2019-12-09,Frente para la Victoria - Pj
Arenas,Berta Hortensia,San Luis,2013-12-10,2017-12-09,Compromiso Federal
Riccardo,Jose Luis,San Luis,2013-12-10,2017-12-09,Ucr
Riccardo,Jose Luis,San Luis,2017-12-10,2021-12-09,Ucr
Salino,Fernando Aldo,San Luis,2013-12-10,2015-12-10,Compromiso Federal
Gomez Bull,Mauricio Ricardo,Santa Cruz,2013-12-10,2017-12-09,Frente para la Victoria - Pj
Toledo,Susana Maria,Santa Cruz,2013-12-10,2017-12-09,Ucr
Barletta,Mario Domingo,Santa Fe,2013-12-10,2017-12-09,Ucr
Gonzalez,Josefina Victoria,Santa Fe,2013-12-10,2017-12-09,Frente para la Victoria - Pj
Gonzalez,Josefina Victoria,Santa Fe,2019-12-10,2021-12-09,Frente de Todos
Javkin,Pablo Lautaro,Santa Fe,2013-12-10,2015-12-09,Coalicion Civica Ari - Unen
Scaglia,Gisela,Santa Fe,2013-12-10,2017-12-09,Union Pro
Scaglia,Gisela,Santa Fe,2017-12-10,2021-12-09,Pro
Scaglia,Gisela,Santa Fe,2025-12-10,2029-12-09,Provincias Unidas
Spinozzi,Ricardo Adrian,Santa Fe,2013-12-10,2017-12-09,Union Pro
Torres del Sel,Miguel Ignacio,Santa Fe,2013-12-10,2015-02-19,Union Pro
Juarez,Manuel Humberto,Santiago del Estero,2013-12-10,2017-12-09,Frente Civico por Santiago
Martinez,Oscar Anselmo,Tierra del Fuego,2013-12-10,2017-12-09,Movimiento Solidario Popular
Perez,Martin Alejandro,Tierra del Fuego,2013-12-10,2017-12-09,Frente para la Victoria - Pj
Perez,Martin Alejandro,Tierra del Fuego,2019-12-10,2019-12-11,Frente de Todos
Jaldo,Osvaldo Francisco,Tucuman,2013-12-10,2014-03-05,Frente para la Victoria - Pj
Elias de Perez,Silvia Beatriz,Tucuman,2013-12-18,2015-12-09,Ucr
Carrizo,Nilda Mabel,Tucuman,2013-12-10,2017-12-09,Frente para la Victoria - Pj
Carrizo,Nilda Mabel,Tucuman,2019-12-10,2023-12-09,Frente de Todos
Gervasoni,Lautaro,Entre Rios,2013-12-10,2017-12-09,Frente para la Victoria - Pj
Gagliardi,Josue,Rio Negro,2013-12-10,2015-12-09,Frente para la Victoria - Pj
Gonzalez,Veronica,Tierra del Fuego,2013-12-10,2015-12-09,Frente para la Victoria - Pj
Marcopulos,Juan Fernando,Corrientes,2013-12-10,2015-12-09,Frente para la Victoria - Pj
Boyadjian,Graciela Eunice,Tierra del Fuego,2013-12-10,2015-12-09,Mov Pop Fueguino
Esper,Laura,Buenos Aires,2014-04-03,2015-12-09,Frente Renovador
Seminara,Eduardo Jorge,Santa Fe,2014-04-03,2017-12-09,Frente para la Victoria - Pj
Olivares,Hector Enrique,La Rioja,2014-04-03,2015-12-09,Ucr
Olivares,Hector Enrique,La Rioja,2015-12-10,2019-05-12,Ucr
Bernabey,Ramon Ernesto,Cordoba,2016-03-15,2017-12-09,Brigadier General Juan Bautista Bustos
Laspina,Luciano Andres,Santa Fe,2015-02-25,2017-12-09,Union Pro
Laspina,Luciano Andres,Santa Fe,2017-12-10,2021-12-09,Pro
Laspina,Luciano Andres,Santa Fe,2023-12-10,2025-12-09,Pro
Bregman,Myriam,Buenos Aires,2015-06-10,2016-12-06,Pts - Frente de Izquierda
Bregman,Myriam,Ciudad de Buenos Aires,2024-06-11,2024-06-10,Pts-Frente de Izquierda Unidad
Bregman,Myriam,Ciudad de Buenos Aires,2026-04-07,2029-12-09,Pts-Frente de Izquierda y de Trabajadores Unidad
Fernandez Blanco,Maria Cristina,Jujuy,2015-07-15,2015-12-09,Ucr
Lospennato,Silvia,Buenos Aires,2017-12-10,2019-12-09,Pro
Lospennato,Silvia,Buenos Aires,2019-12-10,2023-12-09,Pro
Lospennato,Silvia,Buenos Aires,2023-12-10,2025-12-09,Pro
Monzo,Emilio,Buenos Aires,2017-12-10,2019-12-09,Pro
Monzo,Emilio,Buenos Aires,2024-08-07,2025-12-09,Encuentro Federal
Acerenza,Samanta Maria Celeste,Buenos Aires,2017-12-10,2019-12-09,Pro
Echegaray,Alejandro Carlos Augusto,Buenos Aires,2015-12-10,2019-12-09,Ucr
Urroz,Paula Marcela,Buenos Aires,2017-12-10,2019-12-09,Pro
Lipovetzky,Daniel Andres,Buenos Aires,2017-12-10,2019-12-09,Pro
Buil,Sergio Omar,Buenos Aires,2017-12-10,2019-12-09,Pro
Banfi,Karina,Buenos Aires,2015-12-10,2019-12-09,Ucr
Banfi,Karina,Buenos Aires,2019-12-10,2023-12-09,Ucr
Banfi,Karina,Buenos Aires,2025-12-10,2027-12-09,Adelante Buenos Aires
Wolff,Waldo Ezequiel,Buenos Aires,2017-12-10,2019-12-09,Pro
Wolff,Waldo Ezequiel,Buenos Aires,2019-12-10,2022-12-30,Pro
Torello,Pablo,Buenos Aires,2017-12-10,2019-12-09,Pro
Torello,Pablo,Buenos Aires,2019-12-10,2023-12-09,Pro
Bossio,Diego Luis,Buenos Aires,2019-06-27,2019-12-09,Federal Unidos por una Nueva Argentina
Furlan,Francisco Abel,Buenos Aires,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Grana,Adrian Eduardo,Buenos Aires,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Raverta,Maria Fernanda,Buenos Aires,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Castagneto,Carlos Daniel,Buenos Aires,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Castagneto,Carlos Daniel,Buenos Aires,2019-12-10,2019-12-11,Frente de Todos
Castagneto,Carlos Daniel,Buenos Aires,2023-12-10,2027-12-09,Unión por la Patria
Tailhade,Rodolfo,Buenos Aires,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Tailhade,Rodolfo,Buenos Aires,2019-12-10,2023-12-09,Frente de Todos
Tailhade,Rodolfo,Buenos Aires,2023-12-10,2027-12-09,Unión por la Patria
Volnovich,Luana,Buenos Aires,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Volnovich,Luana,Buenos Aires,2019-12-10,2019-12-10,Frente de Todos
Volnovich,Luana,Buenos Aires,2023-12-10,2027-12-09,Unión por la Patria
Rodriguez,Rodrigo Martin,Buenos Aires,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Guerin,Maria Isabel,Buenos Aires,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Selva,Carlos Americo,Buenos Aires,2015-12-10,2019-12-09,Federal Unidos por una Nueva Argentina
Selva,Carlos Americo,Buenos Aires,2019-12-10,2023-12-09,Frente de Todos
Passo,Marcela Fabiana,Buenos Aires,2015-12-10,2019-12-09,Federal Unidos por una Nueva Argentina
Passo,Marcela Fabiana,Buenos Aires,2023-12-10,2025-12-09,Unión por la Patria
Bevilacqua,Gustavo,Buenos Aires,2015-12-10,2019-12-09,Federal Unidos por una Nueva Argentina
Perez,Raul Joaquin,Buenos Aires,2015-12-10,2019-12-09,Federal Unidos por una Nueva Argentina
Moreau,Cecilia,Buenos Aires,2015-12-10,2019-12-09,Federal Unidos por una Nueva Argentina
Moreau,Cecilia,Buenos Aires,2019-12-10,2023-12-09,Frente de Todos
Moreau,Cecilia,Buenos Aires,2023-12-10,2027-12-09,Unión por la Patria
Hers Cabral,Anabella Ruth,Ciudad de Buenos Aires,2017-12-10,2018-12-12,Pro
Wechsler,Marcelo German,Ciudad de Buenos Aires,2017-12-10,2019-12-09,Pro
Gonzalez,Alvaro,Ciudad de Buenos Aires,2017-12-10,2019-12-09,Pro
Gonzalez,Alvaro,Ciudad de Buenos Aires,2019-12-10,2023-12-09,Pro
Gonzalez,Alvaro,Ciudad de Buenos Aires,2023-12-10,2027-12-09,Pro
Villalonga,Juan Carlos,Ciudad de Buenos Aires,2017-12-10,2019-12-09,Pro
Lavagna,Marco,Ciudad de Buenos Aires,2019-06-26,2019-12-09,Consenso Federal
Pitiot,Carla Betina,Ciudad de Buenos Aires,2015-12-10,2019-12-09,Federal Unidos por una Nueva Argentina
Mercado,Veronica,Catamarca,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Quintar,Amado,Catamarca,2015-12-10,2016-12-12,Frente Civico y Social de Catamarca
Rach Quiroga,Analia,Chaco,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Masin,Maria Lucila,Chaco,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Masin,Maria Lucila,Chaco,2019-12-10,2023-12-09,Frente de Todos
Goicoechea,Horacio,Chaco,2015-12-10,2019-12-09,Ucr
Igon,Santiago Nicolas,Chubut,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Igon,Santiago Nicolas,Chubut,2019-12-10,2023-12-09,Frente de Todos
Llanos Massa,Ana Maria,Chubut,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Taboada,Jorge,Chubut,2018-03-20,2019-12-09,"Cultura, Educacion y Trabajo"
Miranda,Pedro Ruben,Mendoza,2016-02-04,2019-12-09,Justicialista
Britez,Maria Cristina,Misiones,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Britez,Maria Cristina,Misiones,2019-12-10,2023-12-09,Frente de Todos
Franco,Jorge Daniel,Misiones,2016-06-16,2019-12-09,Frente de la Concordia Misionero
Di Stefano,Daniel,Misiones,2017-12-07,2019-12-09,Frente de la Concordia Misionero
Lopez Koenig,Leandro Gaston,Neuquen,2017-12-10,2019-12-09,Pro
Doñate,Claudio Martin,Rio Negro,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Horne,Silvia Renee,Rio Negro,2018-10-26,2019-12-09,Movimiento Evita
Wisky,Sergio Javier,Rio Negro,2017-12-10,2019-12-09,Pro
David,Javier,Salta,2016-02-04,2019-12-09,Justicialista
Nanni,Miguel,Salta,2015-12-10,2019-12-09,Ucr
Nanni,Miguel,Salta,2019-12-10,2023-12-09,Ucr
Castro Molina,Enrique Roberto,San Juan,2015-12-10,2016-05-24,Compromiso con San Juan
Kirchner,Maximo Carlos,Santa Cruz,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Kirchner,Maximo Carlos,Buenos Aires,2019-12-10,2023-12-09,Frente de Todos
Kirchner,Maximo Carlos,Buenos Aires,2023-12-10,2027-12-09,Unión por la Patria
Roquel,Hector Alberto,Santa Cruz,2015-12-10,2018-02-27,Ucr
Frana,Silvina Patricia,Santa Fe,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Ramos,Alejandro,Santa Fe,2017-12-06,2019-12-09,Primero Argentina
De Ponti,Lucila Maria,Santa Fe,2018-10-26,2019-12-09,Movimiento Evita
Rodriguez,Matias David,Tierra del Fuego,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Carol,Analuz Ailen,Tierra del Fuego,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Orellana,Jose Fernando,Tucuman,2018-02-07,2019-10-30,Justicialista por Tucuman
Soraire,Mirta Alicia,Tucuman,2017-12-12,2019-12-09,Frente para la Victoria - Pj
Martinez,Ana Laura,Santa Fe,2015-12-10,2017-12-07,Union Pro
Incicco,Lucas Ciriaco,Santa Fe,2017-12-10,2019-12-09,Pro
Nuñez,Jose,Santa Fe,2017-12-10,2019-12-09,Pro
Nuñez,Jose,Santa Fe,2019-12-10,2023-12-09,Pro
Nuñez,Jose,Santa Fe,2025-12-10,2027-12-09,Provincias Unidas
Garreton,Facundo,Tucuman,2017-12-10,2019-12-09,Pro
Villavicencio,Maria Teresita,Tucuman,2017-12-10,2019-12-09,Evolucion Radical
Grandinetti,Alejandro Ariel,Santa Fe,2019-06-26,2019-12-09,Consenso Federal
Massetani,Vanesa Laura,Santa Fe,2015-12-10,2019-12-09,Federal Unidos por una Nueva Argentina
Massetani,Vanesa Laura,Santa Fe,2019-12-10,2023-12-09,Frente de Todos
Marcucci,Hugo Maria,Santa Fe,2015-12-10,2019-12-09,Ucr
Roma,Carlos Gaston,Tierra del Fuego,2017-12-10,2019-12-09,Pro
Sosa,Soledad,Mendoza,2015-12-10,2017-12-09,Frente de Izquierda y de los Trabajadores
Pretto,Pedro Javier,Cordoba,2017-12-10,2019-12-09,Pro
Rista,Olga Maria,Cordoba,2015-12-10,2019-12-09,Ucr
Martinez Villada,Leonor Maria,Cordoba,2016-02-04,2019-12-09,Coalicion Civica
Martinez Villada,Leonor Maria,Cordoba,2019-12-10,2023-12-09,Coalicion Civica
Massot,Nicolas,Cordoba,2017-12-10,2019-12-09,Pro
Massot,Nicolas,Buenos Aires,2024-08-07,2027-12-09,Encuentro Federal
Pereyra,Juan Manuel,Cordoba,2015-12-10,2019-12-09,Concertacion Forja
Estevez,Gabriela Beatriz,Cordoba,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Estevez,Gabriela Beatriz,Cordoba,2019-12-10,2023-12-09,Frente de Todos
Estevez,Gabriela Beatriz,Cordoba,2023-12-10,2027-12-09,Unión por la Patria
Massei,Juan Carlos,Cordoba,2015-12-10,2015-12-10,Federal Unidos por una Nueva Argentina
Nazario,Adriana Monica,Cordoba,2018-12-18,2019-12-09,Cordoba Federal
Ruiz Aragon,Jose Arnaldo,Corrientes,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Ruiz Aragon,Jose Arnaldo,Corrientes,2019-12-10,2021-12-09,Frente de Todos
Macias,Oscar Alberto,Corrientes,2016-02-11,2019-12-09,Justicialista
Dindart,Julian,Corrientes,2015-12-10,2019-12-09,Ucr
Monfort,Marcelo Alejandro,Entre Rios,2015-12-10,2019-12-09,Ucr
Gayol,Yanina Celeste,Entre Rios,2017-12-10,2019-12-09,Pro
Huss,Juan Manuel,Entre Rios,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Hernandez,Martin Osvaldo,Formosa,2015-12-10,2019-12-09,Ucr
Snopek,Guillermo,Jujuy,2017-12-10,2019-12-09,Justicialista
Snopek,Guillermo,Jujuy,2023-12-15,2027-12-09,Unión por la Patria
Martinez,Silvia Alejandra,Jujuy,2015-12-10,2019-12-09,Ucr
Snopek,Alejandro Francisco,Jujuy,2019-06-26,2019-12-09,Consenso Federal
Ziliotto,Sergio Raul,La Pampa,2016-02-04,2019-12-09,Justicialista
Molina,Karina Alejandra,La Rioja,2017-12-10,2019-12-09,Pro
Herrera,Luis Beder,La Rioja,2016-02-12,2019-12-09,Justicialista
Balbo,Elva Susana,Mendoza,2017-12-10,2018-04-30,Pro
Morales,Mariana Elizabet,Santiago del Estero,2015-12-10,2019-12-09,Federal Unidos por una Nueva Argentina
Frigerio,Rogelio,Entre Rios,2021-12-16,2023-07-05,Pro
Rodriguez Machado,Laura Elena,Cordoba,2025-11-03,2025-12-09,La Libertad Avanza
Rodriguez Machado,Laura Elena,Cordoba,2025-12-10,2029-12-09,La Libertad Avanza
Verasay,Pamela Fernanda,Mendoza,2023-12-10,2025-12-09,Ucr - Unión Cívica Radical
Verasay,Pamela Fernanda,Mendoza,2025-12-10,2029-12-09,Ucr - Unión Cívica Radical
Raffo,Julio,Ciudad de Buenos Aires,2016-03-21,2017-12-09,Dialogo y Trabajo
Dure,Lucila Beatriz,Formosa,2016-03-01,2017-12-09,Partido Socialista
Bermejo,Sixto Osvaldo,Chubut,2016-03-01,2017-12-09,Trabajo y Dignidad
Guzman,Andres Ernesto,Cordoba,2017-06-26,2017-12-09,Brigadier General Juan Bautista Bustos
Martinez,Dario,Neuquen,2016-03-01,2017-12-09,Frente para la Victoria - Pj
Martinez,Dario,Neuquen,2019-12-10,2020-08-28,Frente de Todos
Lopardo,Maria Paula,Ciudad de Buenos Aires,2016-03-01,2017-12-09,Union Pro
Patiño,Jose Luis,Ciudad de Buenos Aires,2016-03-01,2017-12-09,Union Pro
Patiño,Jose Luis,Ciudad de Buenos Aires,2020-05-13,2021-12-09,Pro
Maquieyra,Martin,La Pampa,2016-03-01,2017-12-09,Union Pro
Maquieyra,Martin,La Pampa,2017-12-10,2021-12-09,Pro
Maquieyra,Martin,La Pampa,2023-12-10,2025-12-09,Pro
Conesa,Eduardo Raul,Ciudad de Buenos Aires,2016-03-01,2017-12-09,Union Pro
Besada,Alicia Irma,Ciudad de Buenos Aires,2016-03-01,2017-12-09,Union Pro
Alonso,Horacio Fernando,Buenos Aires,2016-03-01,2017-12-09,Federal Unidos por una Nueva Argentina
Sorgente,Marcelo Adolfo,Ciudad de Buenos Aires,2016-03-01,2017-12-09,Union Pro
Bellocq,Gerardo Alberto,Cordoba,2016-03-01,2016-04-26,Ucr
Masso,Federico Augusto,Tucuman,2016-03-01,2017-12-09,Libres del Sur
Albornoz,Gabriela Romina,Jujuy,2016-03-01,2017-12-09,Ucr
Huczak,Stella Maris,Mendoza,2017-12-10,2019-12-09,Pro
Vega,Maria Clara del Valle,La Rioja,2016-03-01,2017-12-09,Ucr
Calleri,Agustin Santiago,Cordoba,2016-03-01,2017-12-09,Unidos por una Nueva Argentina
Brezzo,Maria Eugenia,Cordoba,2016-03-01,2017-12-09,Unidos por una Nueva Argentina
Brügge,Juan Fernando,Cordoba,2017-12-06,2019-12-09,Cordoba Federal
Brügge,Juan Fernando,Cordoba,2025-12-10,2027-12-09,Provincias Unidas
Copes,Ana Isabel,Santa Fe,2016-03-01,2017-12-09,Democrata Progresista
Litza,Monica Edith,Buenos Aires,2016-03-01,2017-12-09,Federal Unidos por una Nueva Argentina
Cousinet,Graciela,Mendoza,2016-03-01,2017-12-09,Libres del Sur
Arrieta,Gustavo Hector,Buenos Aires,2016-03-15,2017-12-09,Frente para la Victoria - Pj
Austin,Brenda Lis,Cordoba,2016-05-18,2017-12-09,Ucr
Austin,Brenda Lis,Cordoba,2017-12-10,2021-12-09,Ucr
Peñaloza Marianetti,Maria Florencia,San Juan,2017-12-06,2019-12-09,Somos San Juan
Tovares,Ramon Alberto,San Juan,2016-11-30,2017-12-09,Frente para la Victoria - Pj
Giordano,Juan Carlos,Buenos Aires,2016-12-06,2017-12-09,Izquierda Socialista - Frente de Izquierda
Giordano,Juan Carlos,Buenos Aires,2020-12-10,2021-12-09,Izquierda Socialista - Frente de Izquierda
Giordano,Juan Carlos,Buenos Aires,2025-07-03,2025-12-09,Izquierda Socialista Fit-Unidad
Vera Gonzalez,Orieta Cecilia,Catamarca,2016-12-22,2019-12-09,Coalicion Civica
Couly,Veronica Carolina,Buenos Aires,2017-02-15,2017-12-09,Federal Unidos por una Nueva Argentina
Gonzalez Seligra,Nathalia Ines,Buenos Aires,2017-06-21,2019-03-10,Pts - Frente de Izquierda
Dominguez,Ramon Alfredo,San Luis,2017-07-05,2017-12-09,Compromiso Federal
Neder,Estela Mary,Santiago del Estero,2017-11-22,2019-12-09,Frente Civico por Santiago
Neder,Estela Mary,Santiago del Estero,2019-12-10,2023-12-09,Frente de Todos
Neder,Estela Mary,Santiago del Estero,2023-12-10,2027-12-09,Unión por la Patria
Aicega,Juan,Buenos Aires,2017-12-10,2021-12-09,Pro
Allende,Walberto,San Juan,2019-12-10,2021-12-09,Frente de Todos
Allende,Walberto,San Juan,2023-12-10,2025-12-09,Unión por la Patria
Alonso,Laura V.,Buenos Aires,2019-12-10,2019-12-10,Frente de Todos
Alume Sbodio,Karim Augusto,San Luis,2019-12-10,2021-12-09,Frente de Todos
Polledo,Carmen,Ciudad de Buenos Aires,2017-12-10,2021-12-09,Pro
Ansaloni,Pablo,Buenos Aires,2019-12-10,2021-12-09,Unidad y Equidad Federal
Ansaloni,Pablo,Buenos Aires,2023-12-10,2027-12-09,La Libertad Avanza
Arce,Mario Horacio,Formosa,2017-12-10,2021-12-09,Ucr
Arroyo,Daniel,Buenos Aires,2018-10-22,2019-12-09,Red por Argentina
Arroyo,Daniel,Buenos Aires,2023-12-10,2025-12-09,Unión por la Patria
Avila,Beatriz Luisa,Tucuman,2017-12-10,2021-12-09,Partido por la Justicia Social
Ayala,Aida Beatriz Maxima,Chaco,2017-12-10,2021-12-09,Ucr
Bahillo,Juan Jose,Entre Rios,2017-12-10,2019-12-02,Justicialista
Berisso,Hernan,Buenos Aires,2017-12-10,2021-12-09,Pro
Brambilla,Sofia,Corrientes,2017-12-10,2021-12-09,Pro
Brambilla,Sofia,Corrientes,2023-12-10,2025-12-09,Pro
Campagnoli,Marcela,Buenos Aires,2017-12-10,2021-12-09,Coalicion Civica
Campagnoli,Marcela,Buenos Aires,2024-05-02,2025-12-09,Coalicion Civica
Campos,Javier,Buenos Aires,2017-12-10,2021-12-09,Coalicion Civica
Cantard,Albor Angel,Santa Fe,2017-12-10,2021-12-09,Ucr
Carambia,Antonio Jose,Santa Cruz,2020-10-29,2021-12-09,Accion Federal
Carro,Pablo,Cordoba,2019-12-10,2021-12-09,Frente de Todos
Carro,Pablo,Cordoba,2023-12-10,2025-12-09,Unión por la Patria
Cassinerio,Paulo Leonardo,Cordoba,2017-12-10,2021-12-09,Cordoba Federal
Cerruti,Gabriela,Ciudad de Buenos Aires,2019-12-10,2021-10-13,Frente de Todos
Contigiani,Luis Gustavo,Santa Fe,2018-06-11,2021-12-09,Frente Progresista Civico y Social
Correa,Walter,Buenos Aires,2019-12-10,2021-12-09,Frente de Todos
Cresto,Mayda,Entre Rios,2019-12-10,2021-12-09,Frente de Todos
Del Cerro,Gonzalo Pedro Antonio,Santa Fe,2017-12-10,2021-12-09,Ucr
Del Pla,Romina,Buenos Aires,2017-12-10,2020-12-09,Frente de Izquierda y de los Trabajadores
Del Pla,Romina,Buenos Aires,2024-06-11,2024-06-26,Partido Obrero-Frente de Izquierda y Trabajadores Unidad
Del Pla,Romina,Buenos Aires,2026-04-27,2029-12-09,Partido Obrero en el Frente de Izquierda y de Trabajadores-U
Delu,Melina Aida,La Pampa,2019-12-10,2021-12-09,Frente de Todos
Fernandez Langan,Ezequiel,Buenos Aires,2017-12-10,2021-12-09,Pro
Fernandez Patri,Ramiro,Formosa,2019-12-10,2021-12-09,Frente de Todos
Fernandez Patri,Ramiro,Formosa,2023-12-10,2025-12-09,Unión por la Patria
Fernandez,Carlos A.,Buenos Aires,2017-12-10,2021-12-09,Ucr
Flores,Danilo Adrian,La Rioja,2019-12-10,2021-12-09,Frente de Todos
Fregonese,Alicia,Entre Rios,2017-12-10,2021-12-09,Pro
Fregonese,Alicia,Entre Rios,2025-12-10,2029-12-09,Pro
Frizza,Gabriel Alberto,Cordoba,2017-12-10,2021-12-09,Pro
Garcia,Alejandro,Ciudad de Buenos Aires,2017-12-10,2021-12-09,Pro
Ginocchio,Silvana Micaela,Catamarca,2019-12-10,2021-12-09,Frente de Todos
Ginocchio,Silvana Micaela,Catamarca,2023-12-10,2025-12-09,Unión por la Patria
Grande,Martin,Salta,2017-12-10,2021-12-09,Pro
Infante,Hugo Orlando,Santiago del Estero,2017-12-10,2018-12-30,Frente Civico por Santiago
Lacoste,Jorge Enrique,Entre Rios,2017-12-10,2021-12-09,Ucr
Leavy,Sergio Napoleon,Salta,2017-12-10,2019-12-09,Frente para la Victoria - Pj
Zamarbide,Federico Raul,Mendoza,2017-12-10,2021-12-09,Ucr
