grupo,decision,votos_total,solape_ventanas,fuentes_disjuntas,id_a,nombre_a,n_a,camaras_a,desde_a,hasta_a,distrito_a,fuentes_a,id_b,nombre_b,n_b,camaras_b,desde_b,hasta_b,distrito_b,fuentes_b,actas_compartidas
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,52,0.0,True,leg:80f7cbdb6680,"Martinez, Dolores",21,diputados,2020-11-11,2023-12-07,CABA,argentinadatos,leg:97cfe3c6cd18,MARTÍNEZ Maria Dolores,31,diputados,2019-12-19,2020-01-29,CABA,ckan_diputados,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,52,0.0,True,leg:0cfa8901a8f9,JOURY Mercedes,31,diputados,2019-12-19,2020-01-29,BUENOS AIRES,ckan_diputados,leg:e0ec13db40a4,"Joury, Maria de las Mercedes",21,diputados,2020-11-11,2023-12-07,BUENOS AIRES,argentinadatos,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,52,0.0,True,leg:298c0549e724,"Latorre, Jimena",21,diputados,2020-11-11,2023-12-07,MENDOZA,argentinadatos,leg:7fa0344d8a22,LATORRE Jimena Hebe,31,diputados,2019-12-19,2020-01-29,MENDOZA,ckan_diputados,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,52,0.0,True,leg:16598fe960e1,HERNÁNDEZ Estela Beatriz,31,diputados,2019-12-19,2020-01-29,CHUBUT,ckan_diputados,leg:dee0a5011600,"Hernandez, Estela",21,diputados,2020-11-11,2023-12-07,CHUBUT,argentinadatos,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,52,0.0,True,leg:2f4a251ea34c,ORMACHEA Claudia,31,diputados,2019-12-19,2020-01-29,BUENOS AIRES,ckan_diputados,leg:7af80bdcd0f9,"Ormachea, Claudia Beatriz",21,diputados,2020-11-11,2023-12-07,BUENOS AIRES,argentinadatos,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,52,0.0,True,leg:46827946cfad,"Yambrun, Liliana Patricia",21,diputados,2020-11-11,2023-12-07,BUENOS AIRES,argentinadatos,leg:4ddf567b1f07,YAMBRUN Liliana,31,diputados,2019-12-19,2020-01-29,BUENOS AIRES,ckan_diputados,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,52,0.0,True,leg:25e568b64e13,"Estevez, Enrique",21,diputados,2020-11-11,2023-12-07,SANTA FE,argentinadatos,leg:8dba8c707e88,ESTEVEZ Enrique Eloy,31,diputados,2019-12-19,2020-01-29,SANTA FE,ckan_diputados,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,52,0.0,True,leg:216ad61b75e6,"Cornejo, Virginia",21,diputados,2020-11-11,2023-12-07,SALTA,argentinadatos,leg:9ee22667f2f8,CORNEJO Virginia Maria,31,diputados,2019-12-19,2020-01-29,SALTA,ckan_diputados,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,52,0.0,True,leg:100701856e2c,VESSVESSIAN Marcela Paola,31,diputados,2019-12-19,2020-01-29,SANTA CRUZ,ckan_diputados,leg:9b4206ebb54c,"Vessvessian, Paola",21,diputados,2020-11-11,2023-12-07,SANTA CRUZ,argentinadatos,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,52,0.0,True,leg:8ac4e8af86f2,"Ascarate, Lidia Ines",21,diputados,2020-11-11,2023-12-07,TUCUMAN,argentinadatos,leg:e4212563a09b,ASCARATE Lidia,31,diputados,2019-12-19,2020-01-29,TUCUMAN,ckan_diputados,0
